listing_id,Space Word Count,Description Word Count,host_response_rate,host_acceptance_rate,host_is_superhost,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,Aggregate_sentiment_NY_reviews.Average Sentiment
2060,69,69,0%,50%,f,t,Private room,2,1,1,2,Real Bed,100,365,1,80,9.6,9.2,9.8,9.8,9.5,9.3,f,f,flexible,f,f,0.01,0.312708333
2595,153,157,84%,37%,f,f,Entire home/apt,2,1,0,1,Real Bed,225,335,48,94,9,9,10,10,10,9,f,f,strict_14_with_grace_period,t,t,0.37,0.337269577
3831,174,168,97%,95%,f,t,Entire home/apt,3,1,1,3,Real Bed,89,276,322,89,8,9,9,9,9,8,f,f,flexible,f,f,4.64,0.351771543
5099,183,183,N/A,67%,f,f,Entire home/apt,2,1,1,1,Real Bed,200,0,78,90,10,9,10,10,10,9,f,f,moderate,t,t,0.58,0.3105379
5121,182,182,N/A,67%,f,f,Private room,2,1,1,1,Futon,60,365,50,90,8,8,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.37,0.409002122
5136,110,178,N/A,N/A,f,t,Entire home/apt,4,1.5,2,2,Real Bed,253,358,1,97,10,10,10,10,8,10,f,f,strict_14_with_grace_period,f,f,0.01,0.484073129
5178,170,170,100%,100%,f,t,Private room,2,1,1,1,Real Bed,79,294,473,84,9,7,9,9,10,9,f,f,strict_14_with_grace_period,f,f,3.5,0.289851992
5203,178,171,N/A,N/A,f,t,Private room,1,1,1,1,Real Bed,79,0,118,98,10,10,10,10,10,10,f,f,flexible,t,t,0.9,0.428167089
5238,180,172,100%,22%,t,t,Entire home/apt,2,1,1,1,Real Bed,150,340,161,94,10,9,10,10,9,9,f,f,strict_14_with_grace_period,f,f,1.23,0.356267522
5441,36,177,N/A,56%,t,t,Private room,2,1,1,1,Real Bed,99,0,213,97,10,10,10,10,10,10,f,f,flexible,t,t,1.56,0.352927969
5552,160,155,N/A,20%,f,t,Entire home/apt,2,1,1,1,Real Bed,160,148,66,97,10,9,10,10,10,10,f,f,moderate,f,f,0.5,0.419116028
5803,163,162,100%,99%,t,t,Private room,2,1.5,1,0,Real Bed,89,352,180,94,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,f,1.33,0.407767872
6021,162,172,100%,82%,f,t,Private room,1,1,1,1,Real Bed,85,1,123,93,9,10,10,9,9,9,f,f,strict_14_with_grace_period,f,f,0.91,0.370849881
6090,157,154,100%,N/A,f,t,Entire home/apt,1,1,1,1,Real Bed,120,311,27,97,10,9,9,10,10,9,f,f,strict_14_with_grace_period,f,f,0.21,0.487612345
6848,152,153,100%,97%,f,t,Entire home/apt,3,1,1,1,Real Bed,140,72,181,91,9,10,10,10,9,9,f,f,strict_14_with_grace_period,f,f,1.35,0.386772394
6990,186,181,100%,93%,t,t,Private room,1,1,1,1,Real Bed,65,365,233,98,10,10,10,10,10,10,t,f,moderate,f,f,1.8,0.394874715
7097,110,160,100%,100%,t,t,Entire home/apt,4,1,1,2,Real Bed,199,333,224,97,10,10,10,10,10,9,t,f,flexible,f,f,1.77,0.448876895
7750,106,187,80%,14%,f,t,Private room,1,1,1,0,Real Bed,35,179,0,94.3,9.6,9.2,9.8,9.8,9.5,9.3,f,f,flexible,f,f,0.88,0.37
