listing_id,Space Word Count,Description Word Count,host_response_rate,host_acceptance_rate,host_is_superhost,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month
2060,69,69,0%,50%,f,t,Private room,2,,1,2,Real Bed,$100.00 ,365,1,80,,,,,,,f,f,flexible,f,f,0.01
2595,153,157,84%,37%,f,f,Entire home/apt,2,1,0,1,Real Bed,$225.00 ,335,48,94,9,9,10,10,10,9,f,f,strict_14_with_grace_period,t,t,0.37
3831,174,168,97%,95%,f,t,Entire home/apt,3,1,1,3,Real Bed,$89.00 ,276,322,89,8,9,9,9,9,8,f,f,flexible,f,f,4.64
5099,183,183,N/A,67%,f,f,Entire home/apt,2,1,1,1,Real Bed,$200.00 ,0,78,90,10,9,10,10,10,9,f,f,moderate,t,t,0.58
5121,182,182,N/A,67%,f,f,Private room,2,,1,1,Futon,$60.00 ,365,50,90,8,8,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.37
5136,110,178,N/A,N/A,f,t,Entire home/apt,4,1.5,2,2,Real Bed,$253.00 ,358,1,97,10,10,10,10,8,10,f,f,strict_14_with_grace_period,f,f,0.01
5178,170,170,100%,100%,f,t,Private room,2,1,1,1,Real Bed,$79.00 ,294,473,84,9,7,9,9,10,9,f,f,strict_14_with_grace_period,f,f,3.5
5203,178,171,N/A,N/A,f,t,Private room,1,1,1,1,Real Bed,$79.00 ,0,118,98,10,10,10,10,10,10,f,f,flexible,t,t,0.9
5238,180,172,100%,22%,t,t,Entire home/apt,2,1,1,1,Real Bed,$150.00 ,340,161,94,10,9,10,10,9,9,f,f,strict_14_with_grace_period,f,f,1.23
5441,36,177,N/A,56%,t,t,Private room,2,1,1,1,Real Bed,$99.00 ,0,213,97,10,10,10,10,10,10,f,f,flexible,t,t,1.56
5552,160,155,N/A,20%,f,t,Entire home/apt,2,1,1,1,Real Bed,$160.00 ,148,66,97,10,9,10,10,10,10,f,f,moderate,f,f,0.5
5803,163,162,100%,99%,t,t,Private room,2,1.5,1,0,Real Bed,$89.00 ,352,180,94,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,f,1.33
6021,162,172,100%,82%,f,t,Private room,1,1,1,1,Real Bed,$85.00 ,1,123,93,9,10,10,9,9,9,f,f,strict_14_with_grace_period,f,f,0.91
6090,157,154,100%,N/A,f,t,Entire home/apt,1,1,1,1,Real Bed,$120.00 ,311,27,97,10,9,9,10,10,9,f,f,strict_14_with_grace_period,f,f,0.21
6848,152,153,100%,97%,f,t,Entire home/apt,3,1,,1,Real Bed,$140.00 ,72,181,91,9,10,10,10,9,9,f,f,strict_14_with_grace_period,f,f,1.35
6990,186,181,100%,93%,t,t,Private room,1,1,1,1,Real Bed,$65.00 ,365,233,98,10,10,10,10,10,10,t,f,moderate,f,f,1.8
7097,110,160,100%,100%,t,t,Entire home/apt,4,1,1,2,Real Bed,$199.00 ,333,224,97,10,10,10,10,10,9,t,f,flexible,f,f,1.77
7750,106,187,80%,14%,f,t,Private room,1,1,1,0,Real Bed,$35.00 ,179,0,,,,,,,,f,f,flexible,f,f,
7801,167,165,N/A,0%,f,t,Entire home/apt,4,1,,2,Real Bed,$299.00 ,0,9,98,9,9,10,9,10,10,f,f,strict_14_with_grace_period,f,f,0.07
8490,170,170,100%,100%,f,t,Entire home/apt,5,1,1,4,Real Bed,$120.00 ,309,112,95,10,9,10,10,9,9,f,f,strict_14_with_grace_period,t,t,0.85
8700,0,45,N/A,N/A,f,t,Private room,2,1,1,1,Real Bed,$80.00 ,0,0,,,,,,,,f,f,moderate,f,f,
9657,86,178,N/A,90%,t,t,Entire home/apt,3,1,1,1,Real Bed,$175.00 ,90,33,94,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.25
9668,146,155,100%,100%,f,t,Private room,2,1,1,1,Futon,$50.00 ,335,261,88,9,8,9,9,10,9,f,f,moderate,f,f,2.01
9704,176,174,100%,23%,f,f,Private room,2,1,1,1,Real Bed,$52.00 ,354,98,98,10,9,10,10,10,10,f,f,strict_14_with_grace_period,f,f,1.34
9783,146,148,100%,100%,f,t,Private room,2,1,1,2,Futon,$50.00 ,365,288,89,9,8,9,9,10,9,f,f,moderate,f,f,2.27
10452,119,134,100%,56%,f,t,Private room,3,1,1,0,Real Bed,$70.00 ,365,75,93,9,9,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.61
10962,160,159,100%,99%,t,t,Private room,2,1,1,0,Real Bed,$89.00 ,365,179,95,10,9,10,10,10,10,f,f,strict_14_with_grace_period,t,f,1.37
11708,161,159,100%,100%,f,t,Entire home/apt,2,1,1,1,Real Bed,$85.00 ,0,266,87,10,9,10,10,10,9,t,f,strict_14_with_grace_period,f,f,2.06
11943,39,39,N/A,0%,f,t,Private room,1,1,1,2,Real Bed,$150.00 ,365,0,,,,,,,,f,f,moderate,f,f,
12048,183,181,100%,22%,t,t,Shared room,1,1.5,1,0,Pull-out Sofa,$40.00 ,339,219,96,10,9,10,10,10,10,f,f,strict_14_with_grace_period,f,f,1.69
12192,170,165,100%,69%,f,t,Private room,2,1,1,1,Real Bed,$59.00 ,90,262,88,10,8,10,10,10,10,f,f,strict_14_with_grace_period,t,f,2.03
12343,124,124,N/A,100%,f,t,Entire home/apt,3,1,1,1,Real Bed,$150.00 ,356,107,96,10,9,10,10,9,9,t,f,moderate,f,f,0.84
12627,44,145,100%,73%,t,t,Entire home/apt,2,1,1,1,Real Bed,$150.00 ,175,13,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.39
12937,157,158,N/A,92%,t,t,Private room,4,1,1,2,Real Bed,$130.00 ,205,280,98,10,10,10,10,10,10,f,f,flexible,f,f,2.3
12940,178,179,60%,98%,f,t,Entire home/apt,2,1,1,1,Real Bed,$110.00 ,90,66,89,9,9,10,9,8,9,f,f,moderate,f,t,0.52
13050,79,165,N/A,100%,f,t,Entire home/apt,5,1,2,2,Real Bed,$120.00 ,69,12,95,10,9,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.1
13394,163,152,100%,59%,t,t,Private room,2,1,1,1,Real Bed,$80.00 ,297,143,94,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.13
13677,176,176,77%,96%,f,t,Private room,1,,1,1,Real Bed,$150.00 ,365,69,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.59
13808,181,180,100%,98%,f,t,Private room,2,1,1,1,Real Bed,$80.00 ,337,140,93,10,9,10,10,9,9,f,f,flexible,f,f,1.15
14290,152,171,100%,80%,f,t,Entire home/apt,2,1,2,0,Real Bed,$228.00 ,157,94,94,10,9,10,9,10,9,f,f,strict_14_with_grace_period,f,f,0.73
14314,169,169,100%,97%,f,t,Entire home/apt,4,1,1,2,Real Bed,$149.00 ,291,396,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,3.1
14322,172,180,N/A,100%,f,t,Entire home/apt,1,1,1,1,Real Bed,$200.00 ,358,20,96,9,9,9,10,10,9,t,f,strict_14_with_grace_period,f,f,0.2
14377,161,161,N/A,100%,f,t,Entire home/apt,2,1,1,1,Real Bed,$150.00 ,343,113,97,10,10,10,10,10,9,f,f,strict_14_with_grace_period,t,t,0.89
14991,188,188,N/A,0%,f,t,Private room,1,1,1,1,Real Bed,$110.00 ,365,19,98,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.15
15220,171,174,100%,95%,f,t,Private room,1,0.5,1,1,Real Bed,$69.00 ,346,324,93,9,9,10,10,10,9,f,f,strict_14_with_grace_period,t,f,2.55
15341,75,166,100%,100%,f,t,Entire home/apt,2,1,1,2,Real Bed,$180.00 ,90,25,91,9,9,10,10,9,9,f,f,moderate,t,t,0.31
15385,75,182,100%,92%,t,t,Private room,1,1,1,1,Real Bed,$90.00 ,236,49,97,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.4
15396,0,110,80%,16%,f,t,Entire home/apt,4,2,2,2,Real Bed,$400.00 ,146,5,100,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.1
15711,181,181,92%,92%,t,f,Entire home/apt,6,1,2,4,Real Bed,$200.00 ,296,82,94,10,9,9,9,10,9,f,f,strict_14_with_grace_period,f,f,0.65
15729,51,51,100%,33%,f,t,Private room,4,1,1,1,Real Bed,$89.00 ,0,25,79,7,7,9,9,8,7,f,f,strict_14_with_grace_period,f,f,0.2
15962,183,191,N/A,84%,f,t,Entire home/apt,2,1,1,1,Real Bed,$130.00 ,88,58,87,9,7,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.47
16326,166,167,90%,64%,t,t,Entire home/apt,8,2,4,4,Real Bed,$200.00 ,349,149,99,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,1.26
16338,140,193,100%,13%,f,t,Private room,2,1,1,2,Real Bed,$45.00 ,321,28,92,9,9,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.22
16421,154,169,N/A,73%,t,t,Private room,2,1,1,1,Real Bed,$55.00 ,299,195,89,9,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.53
16458,138,171,N/A,N/A,f,t,Entire home/apt,4,2,2,1,Real Bed,$225.00 ,0,4,100,10,10,10,10,10,10,f,f,moderate,f,f,0.11
16580,158,170,70%,99%,t,t,Private room,2,1,1,1,Real Bed,$80.00 ,173,399,95,10,10,10,9,10,9,f,f,strict_14_with_grace_period,t,t,4.82
16595,59,166,0%,81%,f,t,Entire home/apt,4,1,1,3,Real Bed,$220.00 ,365,168,94,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.43
16821,171,161,100%,59%,f,t,Private room,1,1,1,1,Real Bed,$99.00 ,365,117,93,9,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.23
16974,174,179,100%,100%,t,t,Entire home/apt,8,2,4,6,Real Bed,$225.00 ,239,212,97,10,10,10,10,9,9,f,f,flexible,f,t,1.67
17037,170,177,100%,75%,f,t,Entire home/apt,2,1,1,1,Real Bed,$250.00 ,177,53,96,10,10,10,10,9,9,f,f,strict_14_with_grace_period,t,t,0.43
17092,42,167,N/A,100%,f,t,Private room,1,1,1,1,Real Bed,$51.00 ,127,29,90,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.45
17693,126,189,N/A,90%,t,t,Private room,2,1,1,1,Real Bed,$65.00 ,343,60,98,10,10,10,10,10,10,t,f,strict_14_with_grace_period,f,f,1.43
17747,164,171,N/A,100%,t,t,Private room,2,1,1,1,Real Bed,$105.00 ,360,128,99,10,10,10,10,10,10,t,f,strict_14_with_grace_period,f,f,1.02
18127,160,157,N/A,13%,f,t,Entire home/apt,2,1,1,1,Real Bed,$170.00 ,351,21,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.18
18195,171,167,100%,78%,t,t,Private room,2,1,1,1,Real Bed,$90.00 ,336,22,99,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,f,0.18
18198,172,176,100%,78%,t,t,Private room,1,1,1,0,Real Bed,$75.00 ,66,27,100,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,f,0.22
18590,181,175,100%,93%,t,t,Private room,2,1.5,1,1,Real Bed,$95.00 ,178,152,97,10,10,10,10,10,10,f,f,moderate,t,t,1.23
18728,63,178,N/A,95%,t,t,Private room,3,1.5,1,1,Pull-out Sofa,$150.00 ,295,184,99,10,10,10,10,10,10,t,f,strict_14_with_grace_period,f,f,1.64
